"year","duration","years","track","artist"
"2010","3.14","Years 2010-2019","Wild Things","Alessia Cara"
"2010","3.42","Years 2010-2019","Love Someone","Lukas Graham"
"2010","2.4","Years 2010-2019","Juju On That Beat (TZ Anthem)","Zay Hilfigerrr & Zayion McCall"
"2010","3.57","Years 2010-2019","Here's To Never Growing Up","Avril Lavigne"
"2010","3.34","Years 2010-2019","Helluva Night","Ludacris"
"2010","4.24","Years 2010-2019","My Last","Big Sean Featuring Chris Brown"
"2010","3.33","Years 2010-2019","Break Up In The End","Cole Swindell"
"2010","3.76","Years 2010-2019","Crawling Back To You","Daughtry"
"2010","4.45","Years 2010-2019","Hotline Bling","Drake"
"2010","4.06","Years 2010-2019","Cut Her Off","KCamp Featuring 2 Chainz"
"2010","3.78","Years 2010-2019","Beautiful People","Chris Brown Featuring Benny Benassi"
"2010","4.54","Years 2010-2019","Survival","Eminem"
"2010","3.47","Years 2010-2019","Faster","Matt Nathanson"
"2010","3.65","Years 2010-2019","Sugar","Robin Schulz Featuring Francesco Yates"
"2010","3.65","Years 2010-2019","Love Don't Run","Steve Holy"
"2010","3.72","Years 2010-2019","Lockjaw","French Montana Featuring Kodak Black"
"2010","3.02","Years 2010-2019","You Should See Me In A Crown","Billie Eilish"
"2010","4.04","Years 2010-2019","Swish Swish","Katy Perry Featuring Nicki Minaj"
"2010","4.99","Years 2010-2019","Hot Tottie","Usher Featuring Jay-Z"
"2010","3.38","Years 2010-2019","Raise Your Glass","P!nk"
"2010","5.32","Years 2010-2019","Mr. Misunderstood","Eric Church"
"2010","3.98","Years 2010-2019","Rolex","Ayo & Teo"
"2010","3.81","Years 2010-2019","B**** I'm Madonna","Madonna Featuring Nicki Minaj"
"2010","4.14","Years 2010-2019","Good Feeling","Flo Rida"
"2010","2.86","Years 2010-2019","You Need To Calm Down","Taylor Swift"
"2010","2.22","Years 2010-2019","Butterfly Doors","Lil Pump"
"2010","3.17","Years 2010-2019","Somebody","Natalie La Rose Featuring Jeremih"
"2010","4.16","Years 2010-2019","Don't Cry","Lil Wayne Featuring XXXTENTACION"
"2010","3.49","Years 2010-2019","The Heart Of Dixie","Danielle Bradbery"
"2010","3.07","Years 2010-2019","Stereo Love","Edward Maya & Vika Jigulina"
"2010","2.65","Years 2010-2019","Nice To Meet Ya","Niall Horan"
"2010","4.12","Years 2010-2019","Setting Fires","The Chainsmokers Featuring XYLO"
"2010","3.86","Years 2010-2019","Sidewalks","The Weeknd Featuring Kendrick Lamar"
"2010","4.89","Years 2010-2019","Clique","""Kanye West, Jay-Z, Big Sean"""
"2010","4","Years 2010-2019","Mama's Song","Carrie Underwood"
"2010","4.52","Years 2010-2019","Liv Tonight","Nelly Featuring Keri Hilson"
"2010","4.18","Years 2010-2019","Rockabye","Clean Bandit Featuring Sean Paul & Anne-Marie"
"2010","7.47","Years 2010-2019","Come Join The Murder","The White Buffalo & The Forest Rangers"
"2010","2.63","Years 2010-2019","Sunflower (Spider-Man: Into The Spider-Verse)","Post Malone & Swae Lee"
"2010","2.73","Years 2010-2019","Train Food","XXXTENTACION"
"2010","3.36","Years 2010-2019","Nights Like This","Kehlani Featuring Ty Dolla $ign"
"2010","2.84","Years 2010-2019","Infrared","Pusha T"
"2010","3.63","Years 2010-2019","Girl In A Country Song","Maddie & Tae"
"2010","3.01","Years 2010-2019","Jump Right In","Zac Brown Band"
"2010","2.58","Years 2010-2019","TATI","6ix9ine Featuring DJ SPINKING"
"2010","4.41","Years 2010-2019","Codeine Dreaming","Kodak Black Featuring Lil Wayne"
"2010","6.95","Years 2010-2019","We Are The World 25: For Haiti","Artists For Haiti"
"2010","3.51","Years 2010-2019","Glory And Gore","Lorde"
"2010","2.95","Years 2010-2019","No Such Thing As A Broken Heart","Old Dominion"
"2010","3.97","Years 2010-2019","You & I","One Direction"
"2010","4.02","Years 2010-2019","Red Room","Offset"
"2010","5.4","Years 2010-2019","Wicked Games","The Weeknd"
"2010","3.2","Years 2010-2019","New Freezer","Rich The Kid Featuring Kendrick Lamar"
"2010","3.66","Years 2010-2019","Gangnam Style","PSY"
"2010","3.1","Years 2010-2019","One Man Band","Old Dominion"
